book,bookLabel,authorLabel,genres,firstPublication,sco_uri
http://www.wikidata.org/entity/Q4009165,Old Calabria,Norman Douglas,travel literature,1915-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/douglas-old-calabria/
http://www.wikidata.org/entity/Q7256098,"Psmith, Journalist",P. G. Wodehouse,comic novel,1915-09-29 00:00:00,https://shakespeareandco.princeton.edu/books/wodehouse-psmith-journalist/
http://www.wikidata.org/entity/Q7560096,Something Fresh,P. G. Wodehouse,comic novel,1915-09-16 00:00:00,https://shakespeareandco.princeton.edu/books/wodehouse-something-fresh/
http://www.wikidata.org/entity/Q4593382,"The ""Genius""",Theodore Dreiser,novel,1915-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/dreiser-genius/
http://www.wikidata.org/entity/Q27331,The Beast in the Jungle,Henry James,fiction literature,1903-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/james-beast-jungle/
http://www.wikidata.org/entity/Q767802,The Good Soldier,Ford Madox Ford,novel,1915-03-01 00:00:00,https://shakespeareandco.princeton.edu/books/ford-good-soldier/
http://www.wikidata.org/entity/Q1213402,The Little Lady of the Big House,Jack London,romance novel,1916-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/london-little-lady-big/
http://www.wikidata.org/entity/Q3288936,The Rainbow,D. H. Lawrence,novel,1915-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/lawrence-rainbow/
http://www.wikidata.org/entity/Q7765253,The Song of the Lark,Willa Cather,Bildungsroman,1915-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/cather-song-lark/
http://www.wikidata.org/entity/Q599198,The Voyage Out,Virginia Woolf,novel,1915-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/woolf-voyage/
http://www.wikidata.org/entity/Q105823268,These Twain,Arnold Bennett,,1915-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/bennett-twain/
