uri,title,author,editor,translator,introduction,illustrator,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated,id,exceptional_types,exceptional_counts,original_uri
kelly-pogo-party,The Pogo Party,"Kelly, Walt",,,,,,1956.0,Book,False,,,,1,1,0,1958,2020-04-30T19:40:17+00:00,kelly-pogo-party,['post1942_events'],[1],https://shakespeareandco.princeton.edu/books/kelly-pogo-party/
paris-james-joyce,James Joyce par lui-même,"Paris, Jean",,,,,,1957.0,Book,False,,,,1,0,0,1957,2020-06-18T14:50:14+00:00,paris-james-joyce,['post1942_events'],[1],https://shakespeareandco.princeton.edu/books/paris-james-joyce/
michaux-infini-turbulent,L'Infini turbulent,"Michaux, Henri",,,,,,1957.0,Book,False,,,,1,0,0,1957,2020-06-26T20:18:00+00:00,michaux-infini-turbulent,['post1942_events'],[1],https://shakespeareandco.princeton.edu/books/michaux-infini-turbulent/
osborne-look-back-anger,Look Back in Anger,"Osborne, John",,,,,,1957.0,Book,False,,,,1,1,0,1961,2020-04-30T19:40:14+00:00,osborne-look-back-anger,"['post1942_events', 'unknown_borrows']","[1, 1]",https://shakespeareandco.princeton.edu/books/osborne-look-back-anger/
djilas-land-without-justice,Land without Justice,"Djilas, Milovan",,,"Jovanovich, William",,,1958.0,Book,False,https://archive.org/details/in.ernet.dli.2015.553427/page/3/mode/2up,,"Briggs's lending library card is dated June 1, 1956, but Djilas's *Land without Justice* was published until 1958.",1,0,0,1956,2021-07-19T21:39:26+00:00,djilas-land-without-justice,['post1942_events'],[1],https://shakespeareandco.princeton.edu/books/djilas-land-without-justice/
duras-moderato-cantabile,Moderato Cantabile,"Duras, Marguerite",,,,,,1958.0,Book,False,,,"Briggs's lending library card is dated June 1, 1956, but Duras's *Moderato Cantabile* was published in 1958.",1,0,0,1956,2020-07-07T22:02:12+00:00,duras-moderato-cantabile,['post1942_events'],[1],https://shakespeareandco.princeton.edu/books/duras-moderato-cantabile/
joyce-brothers-keeper-james,My Brother's Keeper: James Joyce's Early Years,"Joyce, Stanislaus",,,"Eliot, T. S.;Ellmann, Richard",,,1958.0,Book,False,,,,1,1,0,1960;1958,2021-07-26T19:27:12+00:00,joyce-brothers-keeper-james,['post1942_events'],[1],https://shakespeareandco.princeton.edu/books/joyce-brothers-keeper-james/
sillitoe-saturday-night-sunday,Saturday Night and Sunday Morning,"Sillitoe, Alan",,,,,,1958.0,Book,False,,,,2,2,0,1961,2020-04-30T19:40:20+00:00,sillitoe-saturday-night-sunday,"['post1942_events', 'unknown_borrows']","[2, 1]",https://shakespeareandco.princeton.edu/books/sillitoe-saturday-night-sunday/
annees-vingt-ecrivains,Les années vingt: Les écrivains Américains à Paris et leurs amis,,,,,,,1959.0,Book,False,,,"A catalog for an exhibition at the Center Culturel Américain from March 11 to April 25, 1959.",1,1,0,1962,2020-07-19T20:08:16+00:00,annees-vingt-ecrivains,"['post1942_events', 'unknown_borrows']","[1, 1]",https://shakespeareandco.princeton.edu/books/annees-vingt-ecrivains/
beach-shakespeare-company,Shakespeare and Company,"Beach, Sylvia",,,,,,1959.0,Book,False,,,,2,2,0,1961,2020-04-30T19:40:21+00:00,beach-shakespeare-company,['post1942_events'],[2],https://shakespeareandco.princeton.edu/books/beach-shakespeare-company/
braine-vodi,The Vodi,"Braine, John",,,,,,1959.0,Book,False,,,,1,1,0,1961,2020-04-30T19:40:17+00:00,braine-vodi,"['post1942_events', 'unknown_borrows']","[1, 1]",https://shakespeareandco.princeton.edu/books/braine-vodi/
mayhall-cousin-human,Cousin to Human,"Mayhall, Jane",,,,,,1960.0,Book,False,,,,2,2,0,1960;1961,2020-04-30T19:40:16+00:00,mayhall-cousin-human,"['post1942_events', 'unknown_borrows']","[2, 1]",https://shakespeareandco.princeton.edu/books/mayhall-cousin-human/
bryher-heart-artemis-writers,The Heart to Artemis: A Writer's Memoir,Bryher,,,,,,1962.0,Book,False,,,,1,0,0,1962,2020-07-05T03:26:49+00:00,bryher-heart-artemis-writers,['post1942_events'],[1],https://shakespeareandco.princeton.edu/books/bryher-heart-artemis-writers/
12-30-heaven,12:30 from Heaven,,,,,,,,,True,,,Unidentified. Likely Freeman Wills Crofts's [*The 12:30 from Croydon*](https://shakespeareandco.princeton.edu/books/crofts-12-30-croydon/) (1934).,1,1,0,1937,2021-02-24T15:49:03+00:00,12-30-heaven,,0,https://shakespeareandco.princeton.edu/books/12-30-heaven/
hoptner-1933-year-magazine,1933: A Year Magazine,,"Hoptner, J. B.;Stoll, J. Louis;Tier, Ada",,,,,,Periodical,False,,,,1,1,0,1934,2020-07-27T20:35:44+00:00,hoptner-1933-year-magazine,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/hoptner-1933-year-magazine/
abc-language,ABC of Language,,,,,,,,,True,,,"Unidentified. Lending library card includes the note, ""Fowler.""",1,1,0,1940,2020-06-03T00:52:56+00:00,abc-language,['unknown_borrows'],[1],https://shakespeareandco.princeton.edu/books/abc-language/
abraham-lincoln,Abraham Lincoln,,,,,,,,Book,True,,Vol. 1,Unidentified. By or about Lincoln. Dolly Wilde borrowed volume 1 of an unspecified edition.,3,3,0,1930;1926;1938,2021-11-15T23:08:26.993869+00:00,abraham-lincoln,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/abraham-lincoln/
bundle-reviews,[a bundle of reviews],,,,,,,,,True,,,"Unidentified. A note on the lending library card reads, ""Bundle of reviews containing Logan Pearsall Smith, Wm Carlos Williams, etc.""",1,1,0,1939,2020-06-03T02:53:06+00:00,bundle-reviews,,0,https://shakespeareandco.princeton.edu/books/bundle-reviews/
