item_id,term,type,source
godwin-memoirs-mary-wollstonecraft,"Authors, English",subject,loc
godwin-memoirs-mary-wollstonecraft,Feminists,subject,loc
scott-lady-lake,Poetry,genre,loc
scott-lady-lake,Lady of the Lake (Legendary character),subject,loc
austen-sense-sensibility,text,genre,loc
grimm-grimms-fairy-tales,Fairy tales,subject,loc
wyss-swiss-family-robinson,text,genre,loc
wyss-swiss-family-robinson,Robinsonades.,genre,loc
wyss-swiss-family-robinson,Fiction.,genre,loc
wyss-swiss-family-robinson,Juvenile fiction,genre,loc
wyss-swiss-family-robinson,Juvenile works.,genre,loc
wyss-swiss-family-robinson,Fiction,genre,loc
wyss-swiss-family-robinson,novel,genre,loc
wyss-swiss-family-robinson,Translations.,genre,loc
wyss-swiss-family-robinson,Translations into English,genre,loc
wyss-swiss-family-robinson,Survival,subject,loc
wyss-swiss-family-robinson,Families,subject,loc
wyss-swiss-family-robinson,Family life,subject,loc
wyss-swiss-family-robinson,Swiss,subject,loc
wyss-swiss-family-robinson,Islands,subject,loc
wyss-swiss-family-robinson,Shipwrecks,subject,loc
austen-pride-prejudice,text,genre,loc
austen-pride-prejudice,Drama,genre,loc
austen-pride-prejudice,Adaptations.,genre,loc
austen-pride-prejudice,Adaptations,genre,loc
austen-pride-prejudice,Drama.,genre,loc
austen-pride-prejudice,drama,genre,loc
austen-pride-prejudice,Marriage,subject,loc
austen-pride-prejudice,Courtship,subject,loc
austen-pride-prejudice,Sisters,subject,loc
austen-pride-prejudice,Social classes,subject,loc
austen-pride-prejudice,Young women,subject,loc
austen-mansfield-park,text,genre,loc
austen-mansfield-park,Love stories.,genre,loc
austen-mansfield-park,Domestic fiction.,genre,loc
austen-mansfield-park,Fiction,genre,loc
austen-mansfield-park,Uncles,subject,loc
austen-mansfield-park,Country homes,subject,loc
austen-mansfield-park,Children of the rich,subject,loc
austen-mansfield-park,FICTION / Classics,subject,loc
austen-mansfield-park,Social life and customs,subject,loc
austen-mansfield-park,FICTION / Literary,subject,loc
austen-mansfield-park,Cousins,subject,loc
austen-mansfield-park,Social classes,subject,loc
austen-mansfield-park,Adoptees,subject,loc
austen-mansfield-park,Young women,subject,loc
scott-waverley,Fiction,genre,loc
scott-waverley,"Jacobite Rebellion, 1745-1746",subject,loc
austen-emma,bibliography,genre,loc
austen-emma,Fiction,genre,loc
austen-emma,Regency fiction.,genre,loc
austen-emma,Mate selection,subject,loc
austen-emma,Female friendship,subject,loc
austen-emma,Social life and customs,subject,loc
austen-emma,Examinations,subject,loc
austen-emma,Young women,subject,loc
austen-emma,Fathers and daughters,subject,loc
hazlitt-characters-shakespeares-plays,Characters,subject,loc
austen-northanger-abbey,Love stories.,genre,loc
austen-northanger-abbey,Satire.,genre,loc
austen-northanger-abbey,Fiction,genre,loc
austen-northanger-abbey,Gothic fiction.,genre,loc
austen-northanger-abbey,Horror tales,subject,loc
austen-northanger-abbey,Young women,subject,loc
austen-northanger-abbey,Books and reading,subject,loc
austen-persuasion,Psychological fiction.,genre,loc
austen-persuasion,Love stories.,genre,loc
austen-persuasion,Fiction,genre,loc
austen-persuasion,Motherless families,subject,loc
austen-persuasion,Rejection (Psychology),subject,loc
austen-persuasion,Fiction,subject,loc
austen-persuasion,Ship captains,subject,loc
austen-persuasion,Young women,subject,loc
scott-rob-roy,Fiction,subject,loc
scott-rob-roy,Outlaws,subject,loc
thomson-seasons-summer,biography,genre,loc
thomson-seasons-summer,Seasons,subject,loc
evelyn-diary-john-evelyn,biography,genre,loc
evelyn-diary-john-evelyn,Early works to 1800,genre,loc
evelyn-diary-john-evelyn,Diaries,subject,loc
evelyn-diary-john-evelyn,Court and courtiers,subject,loc
evelyn-diary-john-evelyn,Social life and customs,subject,loc
evelyn-diary-john-evelyn,History,subject,loc
scott-heart-midlothian,Historical fiction.,genre,loc
scott-heart-midlothian,Fiction,genre,loc
scott-heart-midlothian,Legal stories.,genre,loc
scott-heart-midlothian,History,subject,loc
scott-heart-midlothian,Trials (Murder),subject,loc
scott-heart-midlothian,Pardon,subject,loc
scott-heart-midlothian,Women travelers,subject,loc
scott-heart-midlothian,"Porteous Riots, 1736",subject,loc
scott-heart-midlothian,Sisters,subject,loc
scott-heart-midlothian,Women prisoners,subject,loc
scott-heart-midlothian,Scots,subject,loc
hazlitt-lectures-english-comic,conference publication,genre,loc
hazlitt-lectures-english-comic,English wit and humor,subject,loc
hazlitt-lectures-english-comic,English literature,subject,loc
irving-rip-van-winkle,Fantasy fiction.,genre,loc
irving-rip-van-winkle,Fiction,genre,loc
irving-rip-van-winkle,History,subject,loc
irving-rip-van-winkle,Fiction,subject,loc
irving-rip-van-winkle,"Van Winkle, Rip (Fictitious character)",subject,loc
scott-ivanhoe,Historical fiction.,genre,loc
scott-ivanhoe,Fiction,genre,loc
scott-ivanhoe,Love stories.,genre,loc
scott-ivanhoe,History,subject,loc
scott-ivanhoe,Jews,subject,loc
scott-ivanhoe,Knights and knighthood,subject,loc
de-quincey-confessions-english-opium,Biography,genre,loc
de-quincey-confessions-english-opium,Opium abuse,subject,loc
de-quincey-confessions-english-opium,"Authors, English",subject,loc
de-quincey-confessions-english-opium,Drug addicts,subject,loc
hazlitt-lectures-dramatic-literature,English literature,subject,loc
hazlitt-lectures-dramatic-literature,English drama,subject,loc
disraeli-literary-character-men,Bookplates (Provenance),genre,loc
disraeli-literary-character-men,Biography,genre,loc
disraeli-literary-character-men,"Authors, English",subject,loc
disraeli-literary-character-men,Litterateurs,subject,loc
scott-fortunes-nigel,Fiction,genre,loc
scott-fortunes-nigel,Historical fiction.,genre,loc
scott-fortunes-nigel,History,subject,loc
scott-fortunes-nigel,Scots,subject,loc
hazlitt-liber-amoris-new,biography,genre,loc
hazlitt-liber-amoris-new,Love-letters,subject,loc
hazlitt-liber-amoris-new,Correspondence,subject,loc
hazlitt-liber-amoris-new,"Authors, English",subject,loc
hazlitt-liber-amoris-new,Imaginary letters,subject,loc
hazlitt-liber-amoris-new,Relations with women,subject,loc
scott-quentin-durward,Fiction,genre,loc
scott-quentin-durward,Historical fiction.,genre,loc
scott-quentin-durward,History,subject,loc
scott-quentin-durward,Scots,subject,loc
bunyan-pilgrims-progress-life,Fiction,genre,loc
bunyan-pilgrims-progress-life,Christian fiction.,genre,loc
bunyan-pilgrims-progress-life,text,genre,loc
bunyan-pilgrims-progress-life,Christian pilgrims and pilgrimages,subject,loc
peacock-crotchet-castle,text,genre,loc
hugo-dame-paris,Fiction,subject,loc
scott-count-robert-paris,Crusades,subject,loc
irving-alhambra,government publication,genre,loc
irving-alhambra,"Alhambra (Granada, Spain)Architecture, SpanishBoabdil, King of Granada, approximately 1460-approximately 1527Castles and palacesDescription and travelLegends",subject,loc
irving-alhambra,1829,subject,loc
bulwer-lytton-rienzi-last-roman,Fiction,genre,loc
carlyle-sartor-resartus,Fiction,genre,loc
carlyle-sartor-resartus,Satire.,genre,loc
carlyle-sartor-resartus,Didactic fiction.,genre,loc
carlyle-sartor-resartus,Philosophers,subject,loc
carlyle-sartor-resartus,Fiction,subject,loc
carlyle-sartor-resartus,Conduct of life,subject,loc
carlyle-sartor-resartus,Clothing and dress,subject,loc
dickens-oliver-twist,biography,genre,loc
dickens-oliver-twist,Playbills-New York (State)-New York.,genre,loc
dickens-oliver-twist,Playbills-1912.,genre,loc
andersen-wild-swans,Fiction films.,genre,loc
andersen-wild-swans,Feature films.,genre,loc
dickens-nicholas-nickleby,Fiction,genre,loc
dickens-nicholas-nickleby,Fiction.,genre,loc
dickens-nicholas-nickleby,text,genre,loc
dickens-nicholas-nickleby,novel,genre,loc
dickens-nicholas-nickleby,Poor families,subject,loc
dickens-nicholas-nickleby,Fathers,subject,loc
dickens-nicholas-nickleby,Theatrical companies,subject,loc
dickens-nicholas-nickleby,Uncles,subject,loc
dickens-nicholas-nickleby,Widows,subject,loc
dickens-nicholas-nickleby,Young men,subject,loc
dickens-nicholas-nickleby,Boarding schools,subject,loc
stendhal-charterhouse-parma,Political fiction,genre,loc
stendhal-charterhouse-parma,Fiction,genre,loc
stendhal-charterhouse-parma,Love stories.,genre,loc
stendhal-charterhouse-parma,bibliography,genre,loc
stendhal-charterhouse-parma,Young men,subject,loc
stendhal-charterhouse-parma,Social life and customs,subject,loc
dickens-barnaby-rudge,Fiction,genre,loc
dickens-barnaby-rudge,"Gordon Riots, 1780",subject,loc
carlyle-heroes-hero-worship,Heroes,subject,loc
cooper-deerslayer,Bildungsromans.,genre,loc
cooper-deerslayer,Fiction,genre,loc
cooper-deerslayer,Historical fiction.,genre,loc
cooper-deerslayer,text,genre,loc
cooper-deerslayer,War stories.,genre,loc
cooper-deerslayer,Delaware Indians,subject,loc
cooper-deerslayer,Frontier and pioneer life,subject,loc
cooper-deerslayer,Male friendship,subject,loc
cooper-deerslayer,History,subject,loc
