id,0,1
carroll-hunting-snark,['overborrows'],[1]
carroll-life-letters-lewis,"['overborrows', 'post1942_events', 'unknown_borrows']","[2, 1, 1]"
carroll-looking-glass-alice,"['overborrows', 'post1942_events']","[1, 1]"
carroll-sylvie-bruno,['overborrows'],[2]
carswell-camomile,['overborrows'],[2]
carter-slow-death-geneva,['overborrows'],[3]
cassells-dictionary,['overborrows'],[1]
cassells-french-english,['post1942_events'],[1]
cassells-german-english,"['post1942_events', 'unknown_borrows']","[1, 1]"
cather-antonia,"['overborrows', 'post1942_events', 'unknown_borrows']","[5, 1, 1]"
cather-death-comes-archbishop,['overborrows'],[3]
cather-lost-lady,"['overborrows', 'sunday_shopers']","[1, 1]"
cather-lucy-gayheart,['overborrows'],[5]
cather-one,"['overborrows', 'unknown_borrows']","[2, 1]"
cather-professors-house,['overborrows'],[1]
cather-shadows-rock,"['overborrows', 'post1942_events', 'unknown_borrows']","[2, 1, 1]"
cather-song-lark,['overborrows'],[1]
cather-youth-bright-medusa,['overborrows'],[1]
caudwell-perfect-alibi,['overborrows'],[4]
cazamian-revue-anglo-americaine,['unknown_borrows'],[1]
cecil-stricken-deer-life,"['overborrows', 'unknown_borrows']","[3, 1]"
cecil-young-melbourne-story,['overborrows'],[1]
certain-man,['sunday_shopers'],[1]
cervantes-don-quixote,['overborrows'],[1]
cervantes-history-don-quixote,['overborrows'],[1]
cestre-introduction-edwin-arlington,['overborrows'],[1]
ch-unclear,['unknown_borrows'],[1]
challenge,['overborrows'],[1]
chamberlin-private-character-queen,['overborrows'],[1]
chambers-h-lawrence-personal,['overborrows'],[3]
chambers-short-life-shakespeare,['overborrows'],[2]
chambers-william-shakespeare-study,['overborrows'],[1]
chang-china-crossroads-chinese,['overborrows'],[2]
channel-islands,"['post1942_events', 'unknown_borrows']","[1, 1]"
chappell-shropshire-mary-webb,['overborrows'],[1]
charles-dickens,['overborrows'],[1]
charles-morgan,['unknown_borrows'],[1]
charlotte-bronte,['overborrows'],[1]
charteris-ace-knaves,['overborrows'],[4]
charteris-saint-new-york,['overborrows'],[6]
charteris-saint-thieves-picnic,['overborrows'],[1]
chaucer-complete-works-geoffrey-chaucer,['overborrows'],[1]
chaucer-complete-works-geoffrey-chaucer-2,['overborrows'],[1]
chaucer-poetical-works-geoffrey,['overborrows'],[1]
chaucer-students-chaucer-complete,['overborrows'],[1]
chekhov-black-monk,['overborrows'],[2]
chekhov-cherry-orchard,['overborrows'],[3]
chekhov-chorus-girl-stories,"['overborrows', 'unknown_borrows']","[1, 1]"
chekhov-darling-stories,['overborrows'],[2]
chekhov-horse-stealers-stories,['overborrows'],[2]
chekhov-lady-dog,['overborrows'],[2]
chekhov-letters-anton-pavlovitch,['overborrows'],[1]
chekhov-letters-tchehov-family,"['overborrows', 'sunday_shopers']","[1, 1]"
chekhov-note-books-anton,['overborrows'],[1]
chekhov-plays-anton-tchekov,['overborrows'],[1]
chesterton-autobiography-g-k,['overborrows'],[3]
chesterton-century-detective-stories,"['overborrows', 'sunday_shopers', 'unknown_borrows']","[2, 1, 1]"
chesterton-club-queer-trades,['overborrows'],[1]
chesterton-everlasting-man,"['overborrows', 'sunday_shopers']","[1, 1]"
chesterton-george-bernard-shaw,['unknown_borrows'],[2]
chesterton-incredulity-father-brown,['unknown_borrows'],[1]
chesterton-innocence-father-brown,['overborrows'],[3]
chesterton-magic-fantastic-comedy,['overborrows'],[3]
chesterton-man-thursday,['overborrows'],[2]
chesterton-manalive,"['longterm_borrows', 'overborrows', 'unknown_borrows']","[1, 4, 1]"
chesterton-new-jerusalem,"['overborrows', 'sunday_shopers']","[1, 1]"
chesterton-orthodoxy,['overborrows'],[3]
chesterton-outline-sanity,['overborrows'],[1]
chesterton-paradoxes-mr-pond,['overborrows'],[1]
chesterton-poems,['overborrows'],[1]
chesterton-return-don-quixote,"['overborrows', 'post1942_events']","[1, 1]"
chesterton-scandal-father-brown,['overborrows'],[5]
chesterton-secret-father-brown,['overborrows'],[1]
chesterton-things-considered,['overborrows'],[1]
chesterton-victorian-age-literature,['overborrows'],[3]
chesterton-well-shallows,['overborrows'],[1]
child-diplomat-looks-europe,['overborrows'],[1]
child-thomas-hardy,['overborrows'],[2]
chilton-follow-furies,['overborrows'],[2]
chinese-theatre,['unknown_borrows'],[1]
christian-symbols,['overborrows'],[1]
christie-abc-murders,['overborrows'],[4]
christie-cards-table,['overborrows'],[5]
