,id,type,counts
344,bott-mothers-cavalcade-pictures,overborrows,1
345,bottome-mortal-storm,overborrows,1
346,bottome-mortal-storm,post1942_events,1
347,bottome-murder-bud,overborrows,4
348,bottome-murder-bud,sunday_shopers,1
349,bouchor-contes-transcrits,post1942_events,1
350,bowen-death-heart,overborrows,7
351,bowen-death-heart,post1942_events,1
352,bowen-death-heart,sunday_shopers,1
353,bowen-death-heart,unknown_borrows,1
354,bowen-faber-book-modern,overborrows,4
355,bowen-house-paris,overborrows,2
356,bowen-house-paris,unknown_borrows,1
357,bowen-north,overborrows,2
358,bowman-story-lewis-carroll,unknown_borrows,1
359,boyd-contemporary-drama-ireland,overborrows,2
360,boyd-irelands-literary-renaissance,overborrows,2
361,boyle-crazy-hunter-three,overborrows,3
362,boyle-death-man,overborrows,3
363,boyle-death-man,sunday_shopers,1
364,boyle-first-lover-stories,overborrows,2
365,boyle-gentlemen-address-privately,overborrows,2
366,boyle-glad-day,post1942_events,1
367,boyle-next-bride,overborrows,3
368,boyle-next-bride,post1942_events,1
369,boyle-plagued-nightingale,overborrows,5
370,boyle-plagued-nightingale,sunday_shopers,1
371,boyle-plagued-nightingale,unknown_borrows,1
372,boyle-wedding-day-stories,overborrows,1
373,boyle-white-horses-vienna,overborrows,2
374,boyle-year-last,overborrows,2
375,bradbrook-eliot,post1942_events,1
376,bradbrook-eliot,unknown_borrows,1
377,bradby-psycho-analysis-place,overborrows,2
378,bradby-psycho-analysis-place,unknown_borrows,1
379,bradley-shakespearean-tragedy-lectures,overborrows,1
380,brailsford-shelley-godwin-circle,overborrows,1
381,braine-vodi,post1942_events,1
382,braine-vodi,unknown_borrows,1
383,brandes-main-currents-nineteenth,overborrows,3
384,brandon-young-love,overborrows,2
385,breasted-ancient-times-history,overborrows,1
386,breton-surrealism,overborrows,2
387,brett-lawrence-brett-friendship,overborrows,2
388,breuer-memory-love,overborrows,2
389,brewster-h-lawrence-reminiscences,overborrows,1
390,brewster-modern-fiction,overborrows,1
391,bridge-enchanters-nightshade,overborrows,7
392,bridge-four-part-setting,overborrows,2
393,bridge-ginger-griffin,overborrows,2
394,bridge-illyrian-spring,overborrows,2
395,bridges-miltons-prosody,overborrows,1
396,bridges-poetical-works,overborrows,1
397,bridges-poetical-works,unknown_borrows,1
398,bridges-shorter-poems,overborrows,2
399,bridges-testament-beauty-poem,unknown_borrows,1
400,briffault-europa-days-ignorance,overborrows,3
401,brinig-sisters,overborrows,1
402,british-agriculture,overborrows,1
403,brittain-honourable-estate-novel,unknown_borrows,1
404,brittain-testament-friendship,overborrows,2
405,brittain-testament-youth,overborrows,1
406,bromfield-farm,overborrows,4
407,bromfield-good-woman,overborrows,3
408,bromfield-modern-hero,overborrows,2
409,bromfield-twenty-four-hours,overborrows,1
410,bronte-agnes-grey,overborrows,2
411,bronte-complete-poems-emily,overborrows,1
412,bronte-jane-eyre,overborrows,4
413,bronte-poems-emily-bronte,overborrows,2
414,bronte-professor,unknown_borrows,1
415,bronte-tenant-wildfell-hall,overborrows,1
416,bronte-villette,overborrows,3
417,bronte-wuthering-heights,overborrows,6
418,bronte-wuthering-heights,sunday_shopers,1
419,bronte-wuthering-heights-agnes,overborrows,1
420,brooks-american-caravan-yearbook,overborrows,1
421,brooks-emerson-others,overborrows,2
422,brooks-flowering-new-england,overborrows,2
423,brooks-flowering-new-england,unknown_borrows,1
424,brooks-life-emerson,overborrows,1
425,brooks-wine-puritans,overborrows,1
426,brooks-wine-puritans,unknown_borrows,1
